fashion,perfumes
casual,[14946 12261  5058 14565  6254 16451  7705  1183  1632  9542]
dandy,[ 8776  9244  3546  5202   499  1796   248  8633 11910 16159]
formal,[10305  8337 16524  4721 15425  4194   644 10867  7892 11519]
sports,[13206  6197 16448  6620  7291  8622 13694 15766  8402 15548]
street,[ 7304  1630 10652   646  6338 13569 14750  5369  6498  6510]
chic,[ 8334  1716  4517  7377  1656 12628 15530 16480 15143  7329]
romantic,[15535 12329 15165  7415 16145  5688  5692  5693 11907  7366]
girlish,[ 8730  7181 11208 14237 14227  6850 15173  9521  9622  8785]
